Team,Position,Player ,2025 Price,2026 Price,2027 Price,Original Price,Purchase Year,Contract Year,Player Pool
Bill,WR,Ladd McConkey,$7 ,$17 ,$32 ,$2 ,2024,2,Rookie Draft
Bill,TE,Travis Kelce,$29 ,$39 ,$54 ,$24 ,2024,2,Auction
Bill,TE,Tucker Kraft,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Bill,TE,Ja'Tavion Sanders,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Bill,Draft Pick,2025 1.04,$2 ,$2 ,$7 ,2,,,Rookie Draft
Bill,Draft Pick,2025 2.02,$1 ,$1 ,$6 ,1,,,Rookie Draft
Bill,Draft Pick,2025 2.11,$1 ,$1 ,$6 ,1,,,Rookie Draft
Bill,Draft Pick,2026 1.03,$2 ,$2 ,$7 ,2,,,Rookie Draft
Bill,Draft Pick,2026 2.03,$1 ,$1 ,$6 ,$1,,,Rookie Draft
Cantone,QB,Dak Prescott,$34 ,$44 ,$59 ,$29 ,2024,2,Auction
Cantone,QB,Jared Goff,$32 ,$52 ,$77 ,$2 ,2022,4,Auction
Cantone,QB,Cooper Rush,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Cantone,QB,Mac Jones,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Cantone,RB,Rachaad White,$32 ,$52 ,$77 ,$2 ,2022,4,Auction
Cantone,RB,Aaron Jones,$32 ,$42 ,$57 ,$27 ,2024,2,Auction
Cantone,RB,James Conner,$29 ,$44 ,$64 ,$14 ,2023,3,Auction
Cantone,RB,Isaac Guerendo,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Cantone,RB,Roschon Johnson,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Cantone,RB,Michael Carter,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Cantone,WR,CeeDee Lamb,$77 ,$107 ,$142 ,$2 ,2020,6,Auction
Cantone,WR,JaMarr Chase,$52 ,$77 ,$107 ,$2 ,2021,5,Auction
Cantone,WR,Deebo Samuel,$39 ,$54 ,$74 ,$24 ,2023,3,Auction
Cantone,WR,Michael Pittman,$18 ,$33 ,$53 ,$3 ,2023,3,Auction
Cantone,WR,Jauan Jennings,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Cantone,WR,Adam Thielen,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Cantone,WR,Brandon Cooks,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Cantone,TE,Sam Laporta ,$16 ,$31 ,$51 ,$1 ,2023,3,Auction
Cantone,TE,Jonnu Smith,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Cantone,Draft Pick,2026 1.04,$2 ,$2 ,$7 ,$2,,,Rookie Draft
Cantone,Draft Pick,2026 2.04,$1 ,$1 ,$6 ,$1,,,Rookie Draft
Dugan,QB,Kyler Murray,$31 ,$51 ,$76 ,$1 ,2022,4,Auction
Dugan,QB,Jordan Love,$25 ,$40 ,$60 ,$10 ,2023,3,Auction
Dugan,QB,Derek Carr,$12 ,$22 ,$37 ,$7 ,2024,2,Auction
Dugan,RB,Breece Hall,$32 ,$52 ,$77 ,$2 ,2022,4,Auction
Dugan,RB,Alvin Kamara,$34 ,$49 ,$69 ,$19 ,2023,3,Auction
Dugan,RB,Brian Robinson Jr,$31 ,$51 ,$76 ,$1 ,2022,4,Auction
Dugan,RB,Braelon Allen,$8 ,$18 ,$33 ,$3 ,2024,2,Auction
Dugan,RB,Keaton Mitchell,$6 ,$16 ,$31 ,$1 ,2024,2,Auction
Dugan,RB,Austin Ekeler,$14 ,$24 ,$39 ,$9 ,2024,2,Auction
Dugan,RB,Jeremy McNichols,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Dugan,WR,Tyreek Hill,$61 ,$81 ,$106 ,$31 ,2022,4,Auction
Dugan,WR,Justin Jefferson,$76 ,$106 ,$141 ,$1 ,2020,6,Auction
Dugan,WR,Chris Olave,$32 ,$52 ,$77 ,$2 ,2022,4,Auction
Dugan,WR,George Pickens,$31 ,$51 ,$76 ,$1 ,2022,4,Auction
Dugan,WR,Cooper Kupp,$28 ,$38 ,$53 ,$23 ,2024,2,Auction
Dugan,TE,Jake Ferguson,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Dugan,TE,Kyle Pitts,$20 ,$35 ,$55 ,$5 ,2023,3,Auction
Dugan,Draft Pick,2026 1.09,$2 ,$2 ,$7 ,$2,,,Rookie Draft
Dugan,Draft Pick,2026 2.05,$1 ,$1 ,$6 ,$1,,,Rookie Draft
Faybik,QB,Patrick Mahomes,$81 ,$101 ,$126 ,$51 ,2022,4,Auction
Faybik,QB,Bo Nix,$7 ,$17 ,$32 ,$2 ,2024,2,Rookie Draft
Faybik,QB,Geno Smith,$31 ,$51 ,$76 ,$1 ,2022,4,Auction
Faybik,QB,Carson Wentz,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Faybik,RB,Derrick Henry,$72 ,$87 ,$107 ,$57 ,2023,3,Auction
Faybik,RB,Kenneth Walker III,$32 ,$52 ,$77 ,$2 ,2022,4,Auction
Faybik,RB,Zach Charbonnet,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Faybik,RB,Javonte Williams,$17 ,$27 ,$42 ,$12 ,2024,2,Auction
Faybik,RB,Trey Benson,$7 ,$17 ,$32 ,$2 ,2024,2,Rookie Draft
Faybik,RB,Justice Hill,$6 ,$16 ,$31 ,$1 ,2024,2,Auction
Faybik,RB,Josh Jacobs,$43 ,$63 ,$88 ,$13 ,2022,4,Auction
